8368133a-2ed1-41ac-9fb3-f7edd6156622,Revit Element : ExtentElem : id 116487
d3d4994e-c5d9-48fd-b692-5531f661a5fb,Revit Instance Element : 3D View 2 : id 143231,00000000-0000-0000-0000-000000000000
d3d4994e-c5d9-48fd-b692-5531f661a5fb,Revit Component : MOD : id 143789,00000000-0000-0000-0000-000000000000
d3d4994e-c5d9-48fd-b692-5531f661a5fb,Revit Component : MOD : id 143790,00000000-0000-0000-0000-000000000000
d3d4994e-c5d9-48fd-b692-5531f661a5fb,Revit Component : Cove : id 144228,00000000-0000-0000-0000-000000000000
d3d4994e-c5d9-48fd-b692-5531f661a5fb,Revit Component : TableDining_HighTower_Nadia_I : id 144237,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Graphical Element : Section 2 : id 146102,00000000-0000-0000-0000-000000000000
28e41b13-b563-4884-83fd-b5a602d565cb,Revit Component : MCACRK : id 147011,00000000-0000-0000-0000-000000000000
28e41b13-b563-4884-83fd-b5a602d565cb,Revit Component : MCACRK : id 147043,00000000-0000-0000-0000-000000000000
d3d4994e-c5d9-48fd-b692-5531f661a5fb,Revit Component : MedEq_TV_WallMount_HOK_I : id 147089,00000000-0000-0000-0000-000000000000
d3d4994e-c5d9-48fd-b692-5531f661a5fb,Revit Component : Lounge and Ottoman : id 152079,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Component : HCCE-TA - Low Stool - High Back : id 159115,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Component : HCCE-TA - Low Stool - High Back : id 159296,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Component : HCCE-TA - Low Stool - High Back : id 159359,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Component : HCCE-TA - Low Stool - High Back : id 159420,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Curve Element : Model Lines : id 162062,00000000-0000-0000-0000-000000000000
28e41b13-b563-4884-83fd-b5a602d565cb,Revit Spatial Element : Stair Up : id 162078,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Spatial Element : Closet : id 162080,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Spatial Element : Storage : id 162082,00000000-0000-0000-0000-000000000000
7458d87e-cba9-4361-9b79-8ba539860eb4,Revit Graphical Element : Room Tag With Area : id 162906,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Graphical Element : Room Tag With Area : id 162907,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Graphical Element : Room Tag With Area : id 162908,00000000-0000-0000-0000-000000000000
53db6806-e549-4234-bfdb-d0dd94bcf9ee,Revit Dimension : Diagonal : id 165186,00000000-0000-0000-0000-000000000000
